date,time,tag,detail
"2026-08-21","13:42:53","[ANPR_EVENT]","plate=3325УБЕ  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:42:49","[ANPR_EVENT]","plate=5512УКМ  conf=90%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:42:45","[ANPR_EVENT]","plate=1585УБО  conf=90%  dir=exit  lot=""3-р эмнэлэг""  cam=51"
"2026-08-21","13:42:39","[ANPR_EVENT]","plate=2452УАД  conf=98%  dir=enter  lot=""Морьтон""  cam=40"
"2026-08-21","13:42:24","[ANPR_EVENT]","plate=6669УНП  conf=66%  dir=exit  lot=""Гэгээнтэн урд""  cam=75"
"2026-08-21","13:42:24","[ANPR_EVENT]","plate=7319УАН  conf=90%  dir=enter  lot=""Ялалт""  cam=28"
"2026-08-21","13:42:24","[ANPR_EVENT]","plate=9940УКС  conf=90%  dir=exit  lot=""Андууд""  cam=11"
"2026-08-21","13:42:14","[ANPR_EVENT]","plate=3000УБП  conf=90%  dir=enter  lot=""Андууд""  cam=10"
"2026-08-21","13:42:07","[ANPR_EVENT]","plate=8260УБП  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:41:41","[ANPR_EVENT]","plate=2829УНУ  conf=94%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:41:41","[ANPR_EVENT]","plate=1529УЕМ  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:41:39","[ANPR_EVENT]","plate=7278ДАУ  conf=82%  dir=exit  lot=""3-р эмнэлэг""  cam=51"
"2026-08-21","13:41:32","[ANPR_EVENT]","plate=5241ЦАВ  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:41:30","[ANPR_EVENT]","plate=5133УАН  conf=94%  dir=exit  lot=""Раш булаг""  cam=35"
"2026-08-21","13:41:29","[ANPR_EVENT]","plate=5806УЕЕ  conf=90%  dir=exit  lot=""Андууд""  cam=11"
"2026-08-21","13:41:26","[ANPR_EVENT]","plate=8857УБЭ  conf=94%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:41:11","[ANPR_EVENT]","plate=6689УАК  conf=90%  dir=exit  lot=""Андууд""  cam=11"
"2026-08-21","13:41:10","[ANPR_EVENT]","plate=7664УНҮ  conf=90%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:41:09","[ANPR_EVENT]","plate=7855УАУ  conf=94%  dir=enter  lot=""Хүрээлэн Маршалл урд""  cam=66"
"2026-08-21","13:41:08","[ANPR_EVENT]","plate=7444УНС  conf=78%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:41:08","[ANPR_EVENT]","plate=0269ХЭҮ  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:40:49","[ANPR_EVENT]","plate=2829УНУ  conf=94%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:40:37","[ANPR_EVENT]","plate=0713УЕЕ  conf=90%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:40:24","[ANPR_EVENT]","plate=0953УНЗ  conf=94%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
